,__typename,affiliates_highlighted_label,business_account,creator_subscriptions_count,has_graduated_access,has_hidden_subscriptions_on_profile,highlights_info,id,is_blue_verified,is_profile_translatable,legacy,legacy_extended_profile,professional,profile_image_shape,rest_id,smart_blocked_by,smart_blocking,tipjar_settings,user_seed_tweet_count,verification_info
can_highlight_tweets,User,,,0,True,False,True,VXNlcjoxMTc2ODU5Njc=,True,False,,,,Square,117685967,False,False,,0,
highlighted_tweets,User,,,0,True,False,23,VXNlcjoxMTc2ODU5Njc=,True,False,,,,Square,117685967,False,False,,0,
can_dm,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,True,,,Square,117685967,False,False,,0,
can_media_tag,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,True,,,Square,117685967,False,False,,0,
created_at,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,Fri Feb 26 08:28:15 +0000 2010,,,Square,117685967,False,False,,0,
default_profile,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,False,,,Square,117685967,False,False,,0,
default_profile_image,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,False,,,Square,117685967,False,False,,0,
description,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,The leading provider of converged communication solutions in Kenya. We're online 24/7! Ask on @Safaricom_Care or #ChatWithZuri https://t.co/n3Dpic3RHP,,,Square,117685967,False,False,,0,
entities,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,"{'description': {'urls': [{'display_url': 'wa.me/254722000100', 'expanded_url': 'https://wa.me/254722000100', 'indices': [127, 150], 'url': 'https://t.co/n3Dpic3RHP'}]}, 'url': {'urls': [{'display_url': 'safaricom.co.ke', 'expanded_url': 'http://www.safaricom.co.ke', 'indices': [0, 23], 'url': 'https://t.co/TGTa1s5IK2'}]}}",,,Square,117685967,False,False,,0,
fast_followers_count,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,0,,,Square,117685967,False,False,,0,
favourites_count,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,1728,,,Square,117685967,False,False,,0,
followers_count,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,2074542,,,Square,117685967,False,False,,0,
friends_count,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,95454,,,Square,117685967,False,False,,0,
has_custom_timelines,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,True,,,Square,117685967,False,False,,0,
is_translator,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,False,,,Square,117685967,False,False,,0,
listed_count,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,616,,,Square,117685967,False,False,,0,
location,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,Kenya,,,Square,117685967,False,False,,0,
media_count,User,,,0,True,False,,VXNlcjoxMTc2ODU5Njc=,True,False,34357,,,Square,117685967,False,False,,0,
